"id","apofasal","apoperi_id","apoperico","aporico","date","estival","fasal","invernal","invertido","lleno","luna_id","nuevo","otonyal","perico","primaveral","selecto","soe_id","year"
1,0,,0,0,"0001-06-22 22:45:50",1,1,0,0,1,44,0,0,0,0,0,2,1
2,0,,0,0,"0001-06-22 22:45:50",1,1,0,0,1,103887,0,0,0,0,0,2,1
3,0,,0,0,"0002-09-23 15:23:20",0,1,0,0,0,106,1,1,0,0,0,7,2
4,0,,0,0,"0002-09-23 15:23:20",0,1,0,0,0,103949,1,1,0,0,0,7,2
5,0,,0,0,"0002-12-21 08:02:33",0,1,1,0,0,118,1,0,0,0,0,8,2
6,0,,0,0,"0002-12-21 08:02:33",0,1,1,0,0,103961,1,0,0,0,0,8,2
7,0,,0,0,"0005-06-22 22:05:37",1,1,0,0,0,242,1,0,0,0,0,18,5
8,0,,0,0,"0005-06-22 22:05:37",1,1,0,0,0,104085,1,0,0,0,0,18,5
9,0,,0,0,"0006-09-23 14:45:35",0,1,0,0,1,304,0,1,0,0,0,23,6
10,0,,0,0,"0006-09-23 14:45:35",0,1,0,0,1,104147,0,1,0,0,0,23,6
11,0,,0,0,"0006-12-21 07:40:04",0,1,1,0,1,316,0,0,0,0,0,24,6
12,0,,0,0,"0006-12-21 07:40:04",0,1,1,0,1,104159,0,0,0,0,0,24,6
13,0,,0,0,"0007-03-21 10:47:10",0,1,0,0,1,328,0,0,0,1,0,25,7
14,0,,0,0,"0007-03-21 10:47:10",0,1,0,0,1,104171,0,0,0,1,0,25,7
15,0,,0,0,"0010-09-23 14:06:55",0,1,0,0,0,502,1,1,0,0,0,39,10
16,0,,0,0,"0010-09-23 14:06:55",0,1,0,0,0,104345,1,1,0,0,0,39,10
17,0,,0,0,"0011-03-21 09:57:27",0,1,0,0,0,526,1,0,0,1,0,41,11
18,0,,0,0,"0011-03-21 09:57:27",0,1,0,0,0,104369,1,0,0,1,0,41,11
19,0,,0,0,"0017-09-23 06:37:54",0,1,0,0,1,848,0,1,0,0,0,67,17
20,0,,0,0,"0017-09-23 06:37:54",0,1,0,0,1,104691,0,1,0,0,0,67,17
21,0,,0,0,"0020-06-22 12:56:21",1,1,0,0,1,984,0,0,0,0,0,78,20
22,0,,0,0,"0020-06-22 12:56:21",1,1,0,0,1,104827,0,0,0,0,0,78,20
23,0,,0,0,"0021-09-23 05:59:11",0,1,0,0,0,1046,1,1,0,0,0,83,21
24,0,,0,0,"0021-09-23 05:59:11",0,1,0,0,0,104889,1,1,0,0,0,83,21
25,0,,0,0,"0021-12-20 22:54:54",0,1,1,0,0,1058,1,0,0,0,0,84,21
26,0,,0,0,"0021-12-20 22:54:54",0,1,1,0,0,104901,1,0,0,0,0,84,21
27,0,,0,0,"0024-06-22 12:21:49",1,1,0,0,0,1182,1,0,0,0,0,94,24
28,0,,0,0,"0024-06-22 12:21:49",1,1,0,0,0,105025,1,0,0,0,0,94,24
29,0,,0,0,"0025-09-23 05:22:00",0,1,0,0,1,1244,0,1,0,0,0,99,25
30,0,,0,0,"0025-09-23 05:22:00",0,1,0,0,1,105087,0,1,0,0,0,99,25
31,0,,0,0,"0025-12-20 22:14:10",0,1,1,0,1,1256,0,0,0,0,0,100,25
32,0,,0,0,"0025-12-20 22:14:10",0,1,1,0,1,105099,0,0,0,0,0,100,25
33,0,,0,0,"0030-03-21 00:24:12",0,1,0,0,0,1466,1,0,0,1,0,117,30
34,0,,0,0,"0030-03-21 00:24:12",0,1,0,0,0,105309,1,0,0,1,0,117,30
35,0,,0,0,"0034-03-20 23:36:37",0,1,0,0,1,1664,0,0,0,1,0,133,34
36,0,,0,0,"0034-03-20 23:36:37",0,1,0,0,1,105507,0,0,0,1,0,133,34
37,0,,0,0,"0036-09-22 21:15:39",0,1,0,0,1,1788,0,1,0,0,0,143,36
38,0,,0,0,"0036-09-22 21:15:39",0,1,0,0,1,105631,0,1,0,0,0,143,36
39,0,,0,0,"0036-12-20 14:11:45",0,1,1,0,1,1800,0,0,0,0,0,144,36
40,0,,0,0,"0036-12-20 14:11:45",0,1,1,0,1,105643,0,0,0,0,0,144,36
41,0,,0,0,"0039-06-23 03:09:16",1,1,0,0,1,1924,0,0,0,0,0,154,39
42,0,,0,0,"0039-06-23 03:09:16",1,1,0,0,1,105767,0,0,0,0,0,154,39
43,0,,0,0,"0040-09-22 20:38:55",0,1,0,0,0,1986,1,1,0,0,0,159,40
44,0,,0,0,"0040-09-22 20:38:55",0,1,0,0,0,105829,1,1,0,0,0,159,40
45,0,,0,0,"0040-12-20 13:42:07",0,1,1,0,0,1998,1,0,0,0,0,160,40
46,0,,0,0,"0040-12-20 13:42:07",0,1,1,0,0,105841,1,0,0,0,0,160,40
47,0,,0,0,"0043-06-23 02:28:30",1,1,0,0,0,2122,1,0,0,0,0,170,43
48,0,,0,0,"0043-06-23 02:28:30",1,1,0,0,0,105965,1,0,0,0,0,170,43
49,0,,0,0,"0044-12-20 13:04:39",0,1,1,0,1,2196,0,0,0,0,0,176,44
50,0,,0,0,"0044-12-20 13:04:39",0,1,1,0,1,106039,0,0,0,0,0,176,44
51,0,,0,0,"0049-03-20 14:48:18",0,1,0,0,0,2406,1,0,0,1,0,193,49
52,0,,0,0,"0049-03-20 14:48:18",0,1,0,0,0,106249,1,0,0,1,0,193,49
53,0,,0,0,"0053-03-20 13:54:09",0,1,0,0,1,2604,0,0,0,1,0,209,53
54,0,,0,0,"0053-03-20 13:54:09",0,1,0,0,1,106447,0,0,0,1,0,209,53
55,0,,0,0,"0054-06-22 18:08:20",1,1,0,0,0,2666,1,0,0,0,0,214,54
56,0,,0,0,"0054-06-22 18:08:20",1,1,0,0,0,106509,1,0,0,0,0,214,54
57,0,,0,0,"0055-09-23 11:51:36",0,1,0,0,1,2728,0,1,0,0,0,219,55
58,0,,0,0,"0055-09-23 11:51:36",0,1,0,0,1,106571,0,1,0,0,0,219,55
59,0,,0,0,"0055-12-21 05:02:25",0,1,1,0,1,2740,0,0,0,0,0,220,55
60,0,,0,0,"0055-12-21 05:02:25",0,1,1,0,1,106583,0,0,0,0,0,220,55
61,0,,0,0,"0058-06-22 17:30:38",1,1,0,0,1,2864,0,0,0,0,0,230,58
62,0,,0,0,"0058-06-22 17:30:38",1,1,0,0,1,106707,0,0,0,0,0,230,58
63,0,,0,0,"0059-09-23 11:11:32",0,1,0,0,0,2926,1,1,0,0,0,235,59
64,0,,0,0,"0059-09-23 11:11:32",0,1,0,0,0,106769,1,1,0,0,0,235,59
65,0,,0,0,"0059-12-21 04:24:18",0,1,1,0,0,2938,1,0,0,0,0,236,59
66,0,,0,0,"0059-12-21 04:24:18",0,1,1,0,0,106781,1,0,0,0,0,236,59
67,0,,0,0,"0062-06-22 16:42:38",1,1,0,0,0,3062,1,0,0,0,0,246,62
68,0,,0,0,"0062-06-22 16:42:38",1,1,0,0,0,106905,1,0,0,0,0,246,62
69,0,,0,0,"0064-03-20 05:51:43",0,1,0,0,1,3148,0,0,0,1,0,253,64
70,0,,0,0,"0064-03-20 05:51:43",0,1,0,0,1,106991,0,0,0,1,0,253,64
71,0,,0,0,"0068-03-20 05:16:18",0,1,0,0,0,3346,1,0,0,1,0,269,68
72,0,,0,0,"0068-03-20 05:16:18",0,1,0,0,0,107189,1,0,0,1,0,269,68
73,0,,0,0,"0072-03-20 04:17:58",0,1,0,0,1,3544,0,0,0,1,0,285,72
74,0,,0,0,"0072-03-20 04:17:58",0,1,0,0,1,107387,0,0,0,1,0,285,72
75,0,,0,0,"0073-06-22 08:31:02",1,1,0,0,0,3606,1,0,0,0,0,290,73
76,0,,0,0,"0073-06-22 08:31:02",1,1,0,0,0,107449,1,0,0,0,0,290,73
77,0,,0,0,"0074-12-20 19:46:25",0,1,1,0,1,3680,0,0,0,0,0,296,74
78,0,,0,0,"0074-12-20 19:46:25",0,1,1,0,1,107523,0,0,0,0,0,296,74
79,0,,0,0,"0077-06-22 07:42:35",1,1,0,0,1,3804,0,0,0,0,0,306,77
80,0,,0,0,"0077-06-22 07:42:35",1,1,0,0,1,107647,0,0,0,0,0,306,77
81,0,,0,0,"0078-09-23 01:45:14",0,1,0,0,0,3866,1,1,0,0,0,311,78
82,0,,0,0,"0078-09-23 01:45:14",0,1,0,0,0,107709,1,1,0,0,0,311,78
83,0,,0,0,"0078-12-20 19:17:53",0,1,1,0,0,3878,1,0,0,0,0,312,78
84,0,,0,0,"0078-12-20 19:17:53",0,1,1,0,0,107721,1,0,0,0,0,312,78
