"id","bicuartal","cuartal","date","equinoccial","inicial","lleno","luna_id","nuevo","selecto","soe_id","solsticial","invertido","tricuartal","year"
1,1,0,"0001-06-22 22:45:50",0,0,1,24,0,0,2,1,0,0,1
2,0,0,"0002-09-23 15:23:20",1,0,0,86,1,0,7,0,0,1,2
3,0,0,"0002-12-21 08:02:33",0,1,0,98,1,0,8,1,0,0,2
4,1,0,"0005-06-22 22:05:37",0,0,0,222,1,0,18,1,0,0,5
5,0,0,"0006-09-23 14:45:35",1,0,1,284,0,0,23,0,0,1,6
6,0,0,"0006-12-21 07:40:04",0,1,1,296,0,0,24,1,0,0,6
7,0,1,"0007-03-21 10:47:10",1,0,1,308,0,0,25,0,0,0,7
8,0,0,"0010-09-23 14:06:55",1,0,0,482,1,0,39,0,0,1,10
9,0,1,"0011-03-21 09:57:27",1,0,0,506,1,0,41,0,0,0,11
10,0,0,"0017-09-23 06:37:54",1,0,1,828,0,0,67,0,0,1,17
11,1,0,"0020-06-22 12:56:21",0,0,1,964,0,0,78,1,0,0,20
12,0,0,"0021-09-23 05:59:11",1,0,0,1026,1,0,83,0,0,1,21
13,0,0,"0021-12-20 22:54:54",0,1,0,1038,1,0,84,1,0,0,21
14,1,0,"0024-06-22 12:21:49",0,0,0,1162,1,0,94,1,0,0,24
15,0,0,"0025-09-23 05:22:00",1,0,1,1224,0,0,99,0,0,1,25
16,0,0,"0025-12-20 22:14:10",0,1,1,1236,0,0,100,1,0,0,25
17,0,1,"0030-03-21 00:24:12",1,0,0,1446,1,0,117,0,0,0,30
18,0,1,"0034-03-20 23:36:37",1,0,1,1644,0,0,133,0,0,0,34
19,0,0,"0036-09-22 21:15:39",1,0,1,1768,0,0,143,0,0,1,36
20,0,0,"0036-12-20 14:11:45",0,1,1,1780,0,0,144,1,0,0,36
21,1,0,"0039-06-23 03:09:16",0,0,1,1904,0,0,154,1,0,0,39
22,0,0,"0040-09-22 20:38:55",1,0,0,1966,1,0,159,0,0,1,40
23,0,0,"0040-12-20 13:42:07",0,1,0,1978,1,0,160,1,0,0,40
24,1,0,"0043-06-23 02:28:30",0,0,0,2102,1,0,170,1,0,0,43
25,0,0,"0044-12-20 13:04:39",0,1,1,2176,0,0,176,1,0,0,44
26,0,1,"0049-03-20 14:48:18",1,0,0,2386,1,0,193,0,0,0,49
27,0,1,"0053-03-20 13:54:09",1,0,1,2584,0,0,209,0,0,0,53
28,1,0,"0054-06-22 18:08:20",0,0,0,2646,1,0,214,1,0,0,54
29,0,0,"0055-09-23 11:51:36",1,0,1,2708,0,0,219,0,0,1,55
30,0,0,"0055-12-21 05:02:25",0,1,1,2720,0,0,220,1,0,0,55
31,1,0,"0058-06-22 17:30:38",0,0,1,2844,0,0,230,1,0,0,58
32,0,0,"0059-09-23 11:11:32",1,0,0,2906,1,0,235,0,0,1,59
33,0,0,"0059-12-21 04:24:18",0,1,0,2918,1,0,236,1,0,0,59
34,1,0,"0062-06-22 16:42:38",0,0,0,3042,1,0,246,1,0,0,62
35,0,1,"0064-03-20 05:51:43",1,0,1,3128,0,0,253,0,0,0,64
36,0,1,"0068-03-20 05:16:18",1,0,0,3326,1,0,269,0,0,0,68
37,0,1,"0072-03-20 04:17:58",1,0,1,3524,0,0,285,0,0,0,72
38,1,0,"0073-06-22 08:31:02",0,0,0,3586,1,0,290,1,0,0,73
39,0,0,"0074-12-20 19:46:25",0,1,1,3660,0,0,296,1,0,0,74
40,1,0,"0077-06-22 07:42:35",0,0,1,3784,0,0,306,1,0,0,77
41,0,0,"0078-09-23 01:45:14",1,0,0,3846,1,0,311,0,0,1,78
42,0,0,"0078-12-20 19:17:53",0,1,0,3858,1,0,312,1,0,0,78
43,0,0,"0082-09-23 01:04:55",1,0,1,4044,0,0,327,0,0,1,82
44,0,1,"0083-03-20 20:22:42",1,0,1,4068,0,0,329,0,0,0,83
45,0,1,"0087-03-20 19:35:53",1,0,0,4266,1,0,345,0,0,0,87
46,1,0,"0092-06-21 22:44:16",0,0,0,4526,1,0,366,1,0,0,92
47,0,0,"0093-12-20 10:36:48",0,1,1,4600,0,0,372,1,0,0,93
48,1,0,"0096-06-21 21:57:26",0,0,1,4724,0,0,382,1,0,0,96
49,0,0,"0097-09-22 16:18:53",1,0,0,4786,1,0,387,0,0,1,97
50,0,0,"0097-12-20 09:55:08",0,1,0,4798,1,0,388,1,0,0,97
51,0,1,"0098-03-20 11:29:28",1,0,0,4810,1,0,389,0,0,0,98
52,0,0,"0101-09-23 15:46:18",1,0,1,4984,0,0,403,0,0,1,101
53,0,1,"0102-03-21 10:55:14",1,0,1,5008,0,0,405,0,0,0,102
54,0,1,"0106-03-21 10:09:16",1,0,0,5206,1,0,421,0,0,0,106
55,1,0,"0111-06-23 12:48:20",0,0,0,5466,1,0,442,1,0,0,111
56,0,0,"0112-09-23 07:36:03",1,0,1,5528,0,0,447,0,0,1,112
57,0,0,"0112-12-21 01:24:49",0,1,1,5540,0,0,448,1,0,0,112
58,1,0,"0115-06-23 12:05:39",0,0,1,5664,0,0,458,1,0,0,115
59,0,0,"0116-09-23 06:53:12",1,0,0,5726,1,0,463,0,0,1,116
60,0,0,"0116-12-21 00:43:27",0,1,0,5738,1,0,464,1,0,0,116
61,0,1,"0117-03-21 02:00:59",1,0,0,5750,1,0,465,0,0,0,117
62,0,0,"0120-09-23 06:25:07",1,0,1,5924,0,0,479,0,0,1,120
63,0,0,"0120-12-21 00:06:15",0,1,1,5936,0,0,480,1,0,0,120
64,0,1,"0121-03-21 01:18:37",1,0,1,5948,0,0,481,0,0,0,121
65,0,1,"0125-03-21 00:31:19",1,0,0,6146,1,0,497,0,0,0,125
66,1,0,"0130-06-23 03:08:55",0,0,0,6406,1,0,518,1,0,0,130
67,0,0,"0131-09-23 22:10:02",1,0,1,6468,0,0,523,0,0,1,131
68,0,0,"0131-12-21 16:01:51",0,1,1,6480,0,0,524,1,0,0,131
69,1,0,"0134-06-23 02:19:07",0,0,1,6604,0,0,534,1,0,0,134
70,0,0,"0135-09-23 21:33:32",1,0,0,6666,1,0,539,0,0,1,135
71,0,0,"0135-12-21 15:32:37",0,1,0,6678,1,0,540,1,0,0,135
72,0,0,"0139-09-23 20:57:32",1,0,1,6864,0,0,555,0,0,1,139
73,0,0,"0139-12-21 14:58:13",0,1,1,6876,0,0,556,1,0,0,139
74,0,1,"0140-03-20 15:43:49",1,0,1,6888,0,0,557,0,0,0,140
75,0,1,"0144-03-20 14:50:37",1,0,0,7086,1,0,573,0,0,0,144
76,0,0,"0146-09-23 13:28:21",1,0,0,7210,1,0,583,0,0,1,146
77,1,0,"0149-06-22 17:22:45",0,0,0,7346,1,0,594,1,0,0,149
78,0,0,"0150-09-23 12:42:43",1,0,1,7408,0,0,599,0,0,1,150
79,0,0,"0150-12-21 06:55:26",0,1,1,7420,0,0,600,1,0,0,150
80,1,0,"0153-06-22 16:40:57",0,0,1,7544,0,0,610,1,0,0,153
81,0,0,"0154-09-23 12:04:50",1,0,0,7606,1,0,615,0,0,1,154
82,0,0,"0154-12-21 06:13:25",0,1,0,7618,1,0,616,1,0,0,154
