"id","apogeo","apoperi_id","date","estival","invernal","invertido","otonyal","perigeo","primaveral","selecto","soe_id","year"
1,0,6,"1000-03-20 22:36:39",0,0,0,0,1,1,0,3997,0
2,0,26,"1000-12-21 17:18:28",0,1,0,0,1,0,1,4000,0
3,0,46,"1001-09-23 18:43:42",0,0,0,1,1,0,0,4003,0
4,1,59,"1002-03-21 10:20:06",0,0,0,0,0,1,0,4005,0
5,1,79,"1002-12-22 04:56:47",0,1,0,0,0,0,0,4008,0
6,1,99,"1003-09-24 06:16:35",0,0,0,1,0,0,0,4011,0
7,0,132,"1004-12-21 16:30:26",0,1,1,0,1,0,0,4016,0
8,0,152,"1005-09-23 17:44:26",0,0,0,1,1,0,0,4019,0
9,0,172,"1006-06-22 20:10:35",1,0,0,0,1,0,0,4022,0
10,1,185,"1006-12-22 04:13:02",0,1,0,0,0,0,0,4024,0
11,0,238,"1008-12-21 15:47:13",0,1,0,0,1,0,1,4032,0
12,0,258,"1009-09-23 17:15:16",0,0,0,1,1,0,0,4035,0
13,0,278,"1010-06-22 19:17:04",1,0,0,0,1,0,0,4038,0
14,0,344,"1012-12-21 15:21:01",0,1,0,0,1,0,0,4048,0
15,0,384,"1014-06-22 18:40:25",1,0,0,0,1,0,0,4054,0
16,1,437,"1016-06-22 06:14:44",1,0,0,0,0,0,0,4062,0
17,0,450,"1016-12-21 14:35:47",0,1,0,0,1,0,0,4064,0
18,0,490,"1018-06-22 17:49:53",1,0,1,0,1,0,0,4070,0
19,1,543,"1020-06-22 05:29:13",1,0,0,0,0,0,0,4078,0
20,0,596,"1022-06-22 16:55:33",1,0,0,0,1,0,1,4086,0
21,1,649,"1024-06-22 04:23:21",1,0,0,0,0,0,0,4094,0
22,0,702,"1026-06-22 15:56:56",1,0,1,0,1,0,0,4102,0
23,1,755,"1028-06-22 03:45:58",1,0,0,0,0,0,0,4110,0
24,0,808,"1030-06-22 15:27:42",1,0,0,0,1,0,0,4118,0
25,0,914,"1034-06-22 14:40:55",1,0,0,0,1,0,0,4134,0
26,0,934,"1035-03-21 10:15:56",0,0,0,0,1,1,0,4137,0
27,0,1020,"1038-06-22 13:44:18",1,0,0,0,1,0,0,4150,0
28,0,1040,"1039-03-21 09:27:24",0,0,0,0,1,1,0,4153,0
29,1,1093,"1041-03-20 21:02:28",0,0,0,0,0,1,0,4161,0
30,1,1133,"1042-09-23 16:52:08",0,0,0,1,0,0,0,4167,0
31,0,1146,"1043-03-21 08:38:47",0,0,0,0,1,1,0,4169,0
32,0,1186,"1044-09-23 04:40:07",0,0,0,1,1,0,0,4175,0
